ID_Avaliacao,ID_Funcionario,Data_Avaliacao,Pontuacao,Comentario
1,24,2022-01-31,2.16235,Walk PM address worker experience.
2,30,2022-02-28,4.14788,Six learn executive term during team investment agency.
3,86,2022-03-31,1.44774,Check whole building just there cup.
4,92,2022-04-30,2.42389,Industry morning career impact various.
5,7,2022-05-31,4.91225,Positive give drug read it site mission.
6,35,2022-06-30,4.17596,Meet health myself much.
7,55,2022-07-31,2.98902,Piece almost how.
8,92,2022-08-31,2.35911,Property tonight evening.
9,14,2022-09-30,4.48854,Stay outside successful others day.
10,10,2022-10-31,3.17939,Standard dog water ever ask land.
11,80,2022-11-30,4.0337,Significant full magazine operation.
12,16,2022-12-31,4.01643,Tax station goal live word history company.
13,54,2023-01-31,1.07178,Worry water figure brother effort hard.
14,95,2023-02-28,1.50502,Another mission student truth still drive.
15,89,2023-03-31,3.63852,Together unit view argue western.
16,77,2023-04-30,1.64648,Campaign fine majority.
17,70,2023-05-31,2.02197,Office sister between head.
18,44,2023-06-30,4.78655,Mind scientist project pressure.
19,73,2023-07-31,3.24073,Traditional they mean coach.
20,45,2023-08-31,4.00292,Next gun career happy organization.
21,100,2023-09-30,3.23192,One check sure our.
22,56,2023-10-31,3.21005,Congress light manager I story from take each.
23,84,2023-11-30,1.37661,Piece few especially record.
24,82,2023-12-31,2.37465,Do establish build boy dark professional.
25,57,2024-01-31,2.12972,Family with cause for tax.
26,21,2024-02-29,2.56291,Pm name authority sing.
27,68,2024-03-31,4.19338,Large figure effect really if environment.
28,50,2024-04-30,2.48773,Cut bad himself run result education.
29,33,2024-05-31,2.80679,Indeed from hit generation.
30,91,2024-06-30,2.58953,Tax give late myself yeah reveal.
31,7,2024-07-31,1.37363,Child task daughter southern significant.
32,70,2024-08-31,2.76429,Blood your word hard but finish then.
33,15,2024-09-30,1.78244,Product position religious suggest conference since order.
34,82,2024-10-31,1.74689,Hospital coach method become yet wide.
35,32,2024-11-30,1.37614,Sense dog international.
36,75,2024-12-31,2.42668,Worry together arrive vote fall into.
37,20,2025-01-31,4.02993,Thank first size do.
38,88,2025-02-28,2.10577,Explain occur church fund itself issue less down.
39,15,2025-03-31,2.2494,Treat argue goal model.
40,48,2025-04-30,3.5707,Rate financial money family dinner.
41,71,2025-05-31,1.78336,Draw indeed find total soldier.
42,21,2025-06-30,4.58783,Five one sister some Democrat.
43,42,2025-07-31,3.08076,Information floor suffer difference example student reflect.
44,26,2025-08-31,2.79041,Every social goal two can minute others.
45,14,2025-09-30,3.23128,Newspaper thousand program true street buy course.
46,57,2025-10-31,1.66414,Set build name.
47,37,2025-11-30,3.45389,Example western get its.
48,58,2025-12-31,2.4524,Ready voice present everything.
49,21,2026-01-31,4.58875,Successful rock against dream.
50,82,2026-02-28,1.67542,Bill sure offer son study attorney year.
51,69,2026-03-31,3.0282,Cut tell buy tough nice figure middle.
52,3,2026-04-30,3.39245,Win place born week sister different.
53,87,2026-05-31,1.13353,Account less budget discover Mr.
54,90,2026-06-30,2.45477,Focus beautiful travel address base might unit.
55,37,2026-07-31,3.93054,General raise hit for computer industry.
56,88,2026-08-31,4.28151,Draw science author late sure stand.
57,49,2026-09-30,2.25265,With probably maybe financial language long behind network.
58,19,2026-10-31,4.19437,Country add media break later.
59,89,2026-11-30,4.87102,Town child difficult city low.
60,85,2026-12-31,4.4275,Age change early every talk.
61,12,2027-01-31,1.47058,Any technology face trip use the give.
62,61,2027-02-28,3.95892,Attorney as individual not fact.
63,41,2027-03-31,2.27867,Others must already quality energy share food.
64,33,2027-04-30,4.95366,Check figure small student event.
65,50,2027-05-31,2.94144,Low will police house order discover.
66,68,2027-06-30,1.48974,Purpose citizen design why feeling country apply.
67,71,2027-07-31,3.90074,Entire reveal consumer successful meet.
68,86,2027-08-31,2.29204,Hold success garden artist military top sell.
69,33,2027-09-30,4.98831,Night carry must show stage moment wait.
70,81,2027-10-31,4.91913,Green control fill safe talk.
71,24,2027-11-30,3.62454,Issue become during color smile teacher believe.
72,61,2027-12-31,1.51931,Picture activity student television ever.
73,61,2028-01-31,3.74744,Against window human describe maybe list federal.
74,98,2028-02-29,1.37212,Life to close that poor.
75,28,2028-03-31,1.11746,Coach action up current.
76,58,2028-04-30,4.29183,Seat seven letter black.
77,43,2028-05-31,1.83901,It scene maybe sure black miss.
78,41,2028-06-30,2.51611,Social vote crime effort.
79,39,2028-07-31,4.89383,Whatever girl significant mission near.
80,86,2028-08-31,2.34736,From good win full including visit.
81,49,2028-09-30,2.18596,Purpose peace investment executive oil.
82,17,2028-10-31,4.67283,Leg church center instead executive wrong public.
83,98,2028-11-30,1.44299,Before study something foot way recognize.
84,70,2028-12-31,4.03833,Space recognize southern box draw.
85,70,2029-01-31,4.95226,Machine democratic decision artist play.
86,98,2029-02-28,4.60518,Cover hospital main newspaper pay sit.
87,65,2029-03-31,3.60667,These with why rise development development human.
88,74,2029-04-30,2.25624,Approach Mr drug strategy free per degree.
89,85,2029-05-31,2.01729,Beat attack good eight too security admit watch.
90,5,2029-06-30,4.27702,Increase build shake yeah pretty well answer.
91,2,2029-07-31,4.51929,Huge evidence claim across source best bad music.
92,22,2029-08-31,3.10174,Opportunity it ever cost cup establish your.
93,57,2029-09-30,1.97736,Machine control start camera.
94,66,2029-10-31,1.45177,View water attorney operation.
95,74,2029-11-30,1.34872,Heavy shake man ability voice.
96,98,2029-12-31,3.87631,Thus when success administration happen.
97,16,2030-01-31,2.68047,Majority people especially bring base.
98,51,2030-02-28,4.62144,In dog short western necessary enjoy.
99,39,2030-03-31,3.95869,Doctor program debate face sometimes hard hit.
100,86,2030-04-30,1.76504,Personal officer produce.
