"XLSWrite 1.34 Copyright(c) 1999,2000 Axolot Data",Balanço Patrimonial - PETROBRAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Passivo Circulante,55.737.373,52.317.192,58.029.638,60.148.105,63.321.108,65.310.036,56.834.675,60.590.326,60.821.152,67.711.238,68.212.335,65.952.465,62.912.119,64.248.496,69.620.580,68.529.086,68.163.985,69.960.163,82.524.529,83.746.333,75.255.996,84.708.000,82.659.000,90.358.997,100.595.999,109.719.003,111.572.001,107.458.003,83.681.001,82.830.000,81.167.000,78.477.001,69.968.003,71.248.003,82.534.998,78.116.004,84.649.001,94.071.996,97.067.999,113.538.998,138.346.004,133.660.000,116.147.003,134.836.994,144.168.993,140.706.005,136.287.011,124.469.002,115.928.998,138.664.002,134.912.991,130.221.998,171.156.996,135.807.009,163.731.014,128.450.003,151.599.006,154.571.014,163.927.998,153.876.005
Obrigações Sociais e Trabalhistas,0,0,0,0,0,0,2.605.810,2.568.596,2.942.302,3.340.274,3.182.067,2.974.570,3.436.238,4.059.793,4.420.579,4.163.907,4.863.915,6.480.930,4.806.121,6.361.671,5.709.000,7.931.000,5.489.000,6.168.000,5.472.000,6.156.000,5.085.000,4.871.000,6.081.000,8.261.000,7.159.000,6.020.000,5.217.000,5.240.000,4.331.000,4.920.000,6.013.000,6.781.000,6.426.000,7.082.000,6.511.000,7.370.000,6.632.000,6.152.000,9.284.000,10.609.000,10.150.000,9.655.000,9.092.000,9.182.000,8.335.000,7.743.000,6.814.000,8.190.000,7.805.000,8.080.000,6.843.000,8.839.000,9.802.000,9.521.000
Fornecedores,14.498.820,14.813.655,16.980.678,16.191.082,16.340.192,19.580.197,17.043.678,18.600.657,18.616.455,21.156.510,21.417.527,20.490.271,22.352.372,25.374.960,23.735.509,24.117.803,24.127.445,24.648.884,26.721.401,26.905.199,27.551.001,27.658.000,25.924.000,25.067.999,24.580.999,26.641.000,24.913.000,20.754.999,17.840.001,17.334.000,18.781.000,14.925.000,17.001.000,18.948.999,19.076.999,18.027.000,20.768.999,27.458.001,24.516.000,22.912.000,21.831.999,24.356.999,22.576.001,30.262.000,21.419.000,24.438.999,35.645.002,29.056.999,26.677.000,29.501.999,30.596.999,28.029.000,28.953.999,28.164.000,28.507.001,25.643.000,26.168.001,23.382.999,23.302.001,25.801.001
Obrigações Fiscais,12.780.767,10.119.230,12.747.880,9.842.337,8.966.471,9.327.789,10.250.098,10.792.274,11.546.982,11.268.713,10.968.716,10.968.638,11.034.226,10.521.299,12.521.622,11.732.359,10.357.364,11.071.224,11.596.803,734.543,838.000,823.000,657.000,1.028.000,910.000,860.000,410.000,1.125.000,669.000,647.000,412.000,237.000,2.162.000,1.151.000,990.000,1.625.000,1.648.000,1.514.000,817.000,1.464.000,4.286.000,574.000,1.114.000,998.000,1.144.000,740.000,1.029.000,832.000,871.000,3.140.000,4.089.000,4.895.000,10.065.000,8.568.000,15.045.000,6.891.000,2.746.000,8.085.000,6.295.000,5.031.000
Empréstimos e Financiamentos,12.622.364,10.224.218,14.887.211,20.335.481,25.618.768,22.686.153,15.668.290,16.595.449,16.737.001,20.019.053,18.966.327,18.018.198,17.610.772,15.340.941,15.319.805,14.564.371,18.199.052,18.189.128,18.782.900,21.843.616,23.535.000,28.242.999,31.565.001,39.721.001,44.655.002,53.376.000,57.381.999,62.125.998,36.513.001,37.100.999,31.855.000,34.971.001,25.984.999,23.428.999,23.243.999,15.474.000,15.353.000,16.235.000,14.296.001,36.082.999,44.380.000,54.861.001,41.138.999,59.234.001,66.282.000,68.367.999,51.364.000,49.349.001,42.206.999,49.538.998,50.631.000,43.318.002,48.923.001,46.727.999,47.650.001,49.483.002,49.818.001,55.139.000,55.780.999,61.797.999
Passivos com Partes Relacionadas,0,0,0,0,140.794,159.540,148.798,173.431,178.690,206.691,834.291,875.270,706.030,964.493,1.039.305,928.801,1.139.205,1.264.644,1.200.966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dividendos e JCP a Pagar,6.021.731,4.171.089,2.333.053,3.983.629,1.754.815,1.826.230,3.595.303,4.215.717,2.608.899,2.608.899,3.878.129,4.256.188,0,0,6.153.528,6.256.967,2.898.598,0,9.301.024,9.526.552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.296.000,4.356.000,1.272.000,2.472.000,6.278.000,1.808.000,1.973.000,2.010.000,4.457.000,4.482.000,33.000,10.607.000,0,0,24.269.001,0,21.762.001,0,30.822.001,21.693.999,17.134.000,99.000
Outros,6.373.867,7.175.118,6.030.238,5.242.029,5.672.174,7.446.627,6.219.601,6.295.796,6.908.326,7.756.852,7.538.239,6.870.072,6.349.630,6.489.964,4.820.607,5.088.115,4.991.870,5.622.231,5.689.092,15.221.458,15.126.000,17.264.001,16.909.000,16.130.000,22.676.001,20.238.000,20.738.001,15.864.001,16.662.000,16.262.000,18.683.001,18.224.001,16.237.000,18.865.000,23.344.001,23.819.000,25.497.999,26.862.000,26.279.000,21.135.000,23.719.001,22.695.000,21.747.000,19.009.000,27.101.000,26.869.999,22.034.001,23.449.001,27.395.000,27.730.000,32.789.000,35.180.999,38.889.001,31.460.000,31.565.998,29.261.001,29.406.001,33.081.002,34.763.999,34.303.001
Provisões,3.439.823,5.813.882,5.050.577,4.553.543,4.827.894,4.283.503,1.303.097,1.348.403,1.282.493,1.354.246,1.427.035,1.499.257,1.422.854,1.497.044,1.609.627,1.676.769,1.586.539,1.664.700,1.912.388,2.007.631,1.909.000,2.198.000,2.115.000,2.244.000,2.109.000,2.253.000,2.556.000,2.717.000,2.563.000,2.753.000,2.672.000,2.853.000,2.665.000,2.842.000,10.254.000,13.758.000,15.203.000,15.070.000,16.630.000,16.550.000,14.335.000,3.147.000,3.577.000,4.053.000,3.659.000,3.837.000,8.049.000,3.679.000,4.845.000,3.744.000,3.632.000,3.687.000,3.697.000,3.734.000,3.750.000,3.802.000,3.751.000,3.802.000,14.229.000,14.710.000
Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.018.419,2.513.837,1.145.664,588.000,591.000,0,0,193.000,195.000,488.000,0,3.353.000,472.000,1.605.000,1.247.000,701.000,772.000,1.295.000,493.000,165.000,152.000,3.808.000,3.957.000,22.011.001,18.183.999,13.084.000,13.321.000,13.307.000,3.833.000,3.559.000,3.966.000,4.809.000,5.220.000,4.840.000,7.369.000,9.546.000,8.963.000,7.646.000,5.290.000,2.045.000,548.000,2.621.000,2.613.000
Passivo Não Circulante,95.786.074,121.453.142,126.502.846,132.618.166,138.801.758,140.908.200,152.912.036,166.162.825,167.419.625,183.216.882,198.714.032,211.043.598,226.226.668,237.786.268,262.662.046,289.119.076,340.838.121,345.370.427,321.108.410,362.498.654,362.873.979,388.637.000,399.993.995,435.876.987,449.300.005,530.860.999,530.632.999,485.319.016,459.358.994,458.359.996,471.035.019,449.053.000,476.942.008,468.103.004,479.371.002,468.284.015,478.184.997,476.508.979,479.862.030,546.516.992,517.483.987,481.052.000,510.726.996,601.883.017,625.251.975,574.363.009,539.982.004,553.569.026,463.128.003,460.336.005,448.456.983,431.379.022,420.744.987,437.662.024,448.593.002,446.721.982,466.578.997,483.435.020,504.619.991,503.494.017
Empréstimos e Financiamentos,55.256.396,79.236.817,84.702.691,87.157.514,92.153.881,91.974.017,102.247.023,112.404.455,111.561.425,126.825.021,136.588.370,146.118.312,161.564.475,171.215.487,180.993.540,182.369.583,230.841.532,232.676.770,249.037.996,286.303.191,284.177.007,303.461.007,319.470.010,360.918.024,370.894.012,453.208.015,435.466.994,387.889.005,361.247.015,361.064.006,353.929.003,329.787.015,350.601.970,335.983.018,338.238.996,325.504.991,338.270.028,336.566.026,312.580.014,376.995.021,342.782.018,319.520.014,310.022.013,404.681.982,433.272.979,380.560.998,341.183.988,354.966.995,276.361.970,274.584.994,277.187.002,234.099.999,231.713.997,246.675.014,233.052.996,221.548.003,229.556.994,250.311.999,247.280.992,247.156.998
Passivos com Partes Relacionadas,50.699,51.068,52.433,59.226,59.635,60.953,179.202,175.880,176.396,201.878,187.149,188.352,219.630,193.099,181.350,201.816,391.076,541.758,386.612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Outros,10.487.388,10.099.756,8.865.598,7.666.549,7.601.425,7.712.166,1.169.841,1.116.111,1.062.763,1.145.853,1.816.266,1.476.862,1.239.518,1.188.610,1.395.259,1.423.878,1.908.145,1.614.125,1.309.112,0,0,0,0,0,0,0,0,0,0,0,0,0,2.922.000,2.950.000,2.219.000,2.249.000,2.180.000,2.161.000,2.139.000,2.115.000,2.089.000,2.063.000,2.031.000,1.993.000,1.951.000,1.903.000,1.853.000,1.802.000,1.764.000,1.722.000,1.676.000,1.646.000,1.626.000,1.604.000,1.578.000,1.549.000,1.518.000,1.484.000,1.446.000,1.396.000
Tributos Diferidos,0,0,0,0,0,0,26.160.593,28.960.516,30.846.618,30.726.025,33.268.472,35.601.940,34.821.095,36.314.427,39.261.602,41.967.821,43.315.970,45.640.090,23.206.031,25.624.144,28.054.000,21.923.000,8.052.000,840.000,4.927.000,1.156.000,906.000,812.000,782.000,888.000,856.000,789.000,3.526.000,6.721.000,3.956.000,5.608.000,1.637.000,1.745.000,2.536.000,2.563.000,14.698.000,10.735.000,7.095.000,882.000,822.000,782.000,1.015.000,1.205.000,2.247.000,845.000,6.857.000,43.185.000,36.115.001,35.471.999,35.220.001,42.575.999,53.490.999,50.931.999,52.820.001,50.160.001
Adiantamento para Futuro Aumento Capital,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Provisões,29.991.586,32.065.499,32.882.125,37.734.879,38.986.826,41.161.073,23.155.372,23.505.873,23.772.420,24.318.108,26.853.786,27.658.140,28.381.944,28.874.643,40.830.296,63.155.970,64.381.399,64.897.708,47.168.672,50.571.346,50.643.001,63.253.000,72.472.003,74.118.996,73.478.996,76.497.002,94.260.003,96.617.996,97.330.004,96.408.003,116.250.001,118.476.997,119.892.001,122.449.002,134.956.990,134.922.002,136.097.997,136.036.991,162.607.006,164.843.995,157.915.005,148.734.001,191.579.013,194.326.004,189.206.004,191.116.984,195.929.997,195.595.010,182.755.000,183.183.999,162.736.996,152.448.008,151.290.003,153.911.001,178.742.002,181.049.000,182.012.985,180.707.000,203.072.995,204.780.995
Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lucros e Receitas a Apropriar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Participação dos Acionistas Não Controladores,3.893.928,4.627.492,1.610.167,2.932.712,2.932.856,4.117.783,3.458.118,3.410.560,3.631.129,2.791.978,2.384.730,2.565.967,2.113.094,2.190.925,2.353.980,2.227.710,1.760.431,1.789.943,1.393.791,1.279.056,1.540.000,1.071.000,1.874.000,1.954.000,2.183.000,1.543.000,3.199.000,3.717.000,3.897.000,2.481.000,2.513.000,2.696.000,2.509.000,2.755.000,5.624.000,5.790.000,5.309.000,5.810.000,6.318.000,6.372.000,5.799.000,3.501.000,3.596.000,3.096.000,2.955.000,2.625.000,2.740.000,6.850.000,6.338.000,6.612.000,2.252.000,2.867.000,2.307.000,1.607.000,1.791.000,1.321.000,1.598.000,1.483.000,1.899.000,2.286.000
Patrimônio Líquido,149.847.966,155.391.689,159.464.587,170.299.081,176.974.135,297.360.982,306.765.189,314.781.564,322.711.576,328.404.782,329.838.881,336.256.431,336.775.921,342.457.459,343.079.690,335.437.289,338.265.110,341.312.218,347.939.893,354.490.624,360.700.016,341.325.010,308.847.970,303.758.005,307.219.993,289.439.003,254.731.002,262.666.016,271.394.996,259.535.008,250.230.008,257.820.004,258.635.003,261.764.008,263.984.993,271.963.004,282.139.006,290.365.010,277.225.011,282.658.996,303.619.000,306.251.988,295.541.008,231.828.999,242.765.990,247.735.988,308.410.019,313.395.006,356.052.028,369.076.987,387.328.980,434.193.993,410.544.995,372.497.981,362.593.977,402.083.980,370.682.984,386.006.989,380.441.006,407.635.978
Capital Social Realizado,78.966.686,78.966.686,78.966.686,78.966.686,85.108.548,200.160.870,205.357.105,205.357.105,205.379.731,205.379.731,205.379.731,205.392.151,205.392.151,205.392.151,205.392.151,205.392.151,205.410.910,205.410.910,205.410.910,205.410.910,205.431.996,205.431.996,205.431.996,205.431.996,205.431.996,205.431.996,205.431.996,205.431.996,205.431.996,205.431.996,205.431.996,205.431.996,205.431.996,205.431.996,205.431.996,205.431.996,205.431.996,205.431.996,205.431.996,205.431.996,205.431.996,205.431.996,205.431.996,205.431.996,205.431.996,205.431.996,205.431.996,205.431.996,205.431.996,205.431.996,205.431.996,205.431.996,205.431.996,205.431.996,205.431.996,205.431.996,205.431.996,205.431.996,205.431.996,205.431.996
Reservas de Capital,514.857,514.857,514.857,514.857,0,164.696,-6.257,1.847,48.674,101.923,562.643,558.944,644.488,625.114,630.288,641.468,677.845,658.004,736.885,641.482,656.000,656.000,-646.000,-646.000,-646.000,-645.000,21.000,37.000,37.000,45.000,1.035.000,1.034.000,1.046.000,1.036.000,2.457.000,2.457.000,2.457.000,2.457.000,2.458.000,2.458.000,2.458.000,2.455.000,2.449.000,2.449.000,2.449.000,2.449.000,2.449.000,-1.267.000,-1.267.000,-1.254.000,3.097.000,3.097.000,3.102.000,3.102.000,3.102.000,3.102.000,3.102.000,2.131.000,-538.000,-1.685.000
Reservas de Reavaliação,9.920,9.718,350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reservas de Lucros,58.865.377,58.866.672,79.521.014,84.879.696,79.252.693,77.830.742,101.323.727,101.323.727,101.301.101,101.301.101,122.624.131,122.611.712,122.611.712,122.611.712,134.928.835,134.928.835,134.910.067,134.910.067,149.035.713,149.035.713,149.015.003,149.015.003,149.015.003,127.437.996,127.437.996,127.437.996,92.612.002,92.612.002,92.612.002,92.612.002,77.799.997,77.799.997,77.799.997,77.799.997,77.364.003,83.339.002,92.760.998,98.726.003,95.363.998,99.398.001,116.955.996,123.432.002,124.829.000,76.303.999,73.589.998,72.031.003,127.512.003,128.679.002,165.672.993,165.110.006,164.243.997,208.804.987,177.255.006,133.451.997,128.562.004,166.717.997,135.016.989,146.422.006,159.171.002,182.872.998
Lucros/Prejuízos Acumulados,10.918.406,16.466.363,0,5.971.459,12.494.329,19.251.855,0,8.376.065,16.710.102,20.445.116,0,6.607.815,5.247.747,10.765.923,0,7.541.654,13.745.234,17.142.516,0,5.395.469,10.357.000,5.021.000,-21.577.001,5.333.000,5.866.000,2.110.000,0,-1.243.000,-869.000,-17.323.999,0,4.451.000,4.770.000,5.038.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ajustes de Avaliação Patrimonial,572.716,567.399,461.687,-33.617,118.554,-47.178,287.084,177.879,144.754,250.479,345.700,1.085.806,2.879.834,3.062.563,50.510,-14.768.188,-20.425.189,-20.738.656,-12.439.537,-5.992.973,-4.760.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ajustes Acumulados de Conversão,0,0,0,0,0,0,-196.479,-455.045,-872.763,926.437,926.685,0,0,0,2.077.909,1.701.367,3.946.262,3.929.412,5.195.931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Outros Resultados Abrangentes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-18.799.000,-23.375.999,-33.799.000,-30.870.000,-44.896.002,-43.334.001,-34.172.000,-25.817.000,-21.230.000,-34.037.000,-30.897.000,-30.413.001,-27.542.000,-21.268.001,-19.264.999,-18.511.000,-16.250.000,-26.029.001,-24.629.000,-21.227.000,-25.067.000,-37.169.000,-52.356.002,-38.705.000,-32.176.001,-26.983.000,-19.449.000,-13.786.000,-211.000,14.556.000,16.860.000,24.756.001,30.512.001,25.497.999,26.831.999,27.132.000,32.022.000,16.376.001,21.016.001
Adiantamento para Futuro Aumento Capital,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
